,Paylaþým
2938,neyse bu ruya beni supheye dusurdu ydtyi kontrol etmek istedim ama cevaplarin cogunu unutmusumdur
2939,bu yýlda böyle olsun
2940,Günleri karýþtýrýp sýnav baþvurusu kaçýrdýðýmý farketmem rezaleti yaþanalý bir kaç saniye oldu
2941,Sekai çiftinden daha çok moment veriyorlar aq itiyle
2942,hýrsýz hepsi
2943,11 yýlda 3 kez patlayan havai fiþek fabrikasý olan bir ülke olarak nükleer santral yapýyoruz.
2944,inþallah bu sessizliðin klip çektiðin içindir.
2945,"Çok yakýnda sosyal yaþamýnda büyük geliþmeler olacak, sonuçta mutluluk var."
2946,Geceniz iyi olsun
2947, Ýzmir/Buca Hasanaða Bahçesi'ndeki basketbol sahamýzýn fotoðraflarda da görüldüðü üzere çember kýrýk yardýmcý olur musunuz
2948,Ýletiþim ve Sosyal Medya Komisyonunu Toplantýmýzý Gerçekleþtirdik. 
2949,"Sakarya Taþkýsýðý bölgesinde, havai fiþek fabrikasýndaki malzemeleri imha edilecek alana taþýyan kamyonda patlama meydana geldi"
2950,3.fotoðraf tahminimce öyle
2951,günde 50 tivit atýyo ben size sadece birini atýyorum :d
2952,Covid-19 sebebiyle vefat eden ihtiyaç sahibi tüm saðlýk çalýþaný çocuklarýn eðitim masrafýný üstleneceðiz
2953,Amme hizmeti abshsjs
2954,yaralarýný seviyoruz
2955,DELÝ GÝBÝ SEVERÝM SENÝ BEN
2956,Beþiktaþlýlarý konyasporlu yapyýðýmýz doðrudur
2957,"Eþinin kurduðu, sahibi olduðu Ýpek holding adýna 'TMSF yetkilileri' Melek Ýpek i evinden çýkardýlar."
2958,Ýns gerçekleþir
2959,ismin gibi saçma bir yorum yapmýþsýn kardeþim tebrikler
2960,Bizde sayýn baþkanýmýza hayýrlý ömürler diliyoruz ????
2961,Hayatlarý yanlýþ
2962,Bi reading çözeyim dedim hepsi yanlýþ çýktý býraktým dýþarý çýkýyom
2963,ÝP ve CHP'de yönetici olmanýn en önemli kriteri Tayyip Erdoðan ve ailesine hakaret etmiþ olmak sanýrým...
2964,baþýboþ boþ bi boþlukta
2965,Ýyi aksamlar bdsm sahibe mistress kole slave fetiþ
2966,Eylüle kadar boþuna beklemeyelim lutfen. 3 ders hakkýmýz bizlere geri verilsin.
2967,"12 milyon ABD, 7 milyon AB Avcýsý doðal avlaklarda avlanýyor. Planlý ve yasal avcýlýk, av türlerini tehdit etmez."""
2968,Mutlu huzurlu akþamlar
2969,Sözlerim kefil ve Rap oyun deðil
2970,"Benim iþim bu koç, susmak iþ deðil"
2971,Topunuza birden cevap olacaksa
2972,Sözleþmeli Memurlarýn feryadýný duyun lütfen.
2973,diyecek bisey bulamadim bu guzellige
2974,Soðuk söz duymuþ bir gönül kýrk yaz görse ýsýnmaz....!!
2975,Özel hastanelerde çalýþan meslektaþlarýmýzýn ticari kaygý ile iþ yapan yöneticilerin insafýna býrakýlmamasý lazým.
2976,Ulan bende eskiden komunisttim jdfýjgýfjgsdfds ayný yollardan geçmiþiz
2977,ben saka yapiyosunuz saniyodum harbiden enayiyi savunanlar varmis
2978,Gerizekalýcým  Ben sana haklý olduðun için haklýsýn demiyorum kii 
2979,güzel bir kapak
2980,Kanki isterse koþar havuzu Berkan o
2981,gözler kalbin aynasýdýr
2982,6 tane buldum ben benim icin 7.
2983,Güneþ batana kadardýr efendiliðimiz .
2984,Nüfusun nüfuz olduðunu bildiði için
2985,Hayýrlý iþlerin ceremesi çok olur elbette. Allah rýzasý için yapýlan iþlerde engeller hep vardýr. Önemli olan engele raðmen hayýr yapabilmek
2986,Sevdiðiniz çingene götünü yirtiyor
2987,biz de hep sizinleyiz
2988,"Kâbe yeniden heykelle, putla dolsun"""" demekle """"Ayasofya kilise olsun"""" demek aynýdýr!"
2989,Huzur ve kahve ikram edebilirim isterseniz
2990,Toplantýmýza katýlýp þeref verdiniz sn bakaným inþ en kýsa sürede buluþmak dileðiyle
2991,Uyuyan kediyi uyandýrmak... O üç göz kapaðýnýn ve göz bebeklerinin hareketi... Anlayamazsýnýz
2992,Sizinle Daha Güçlüyüz
2993,bu ne yaman çeliþki
2994,Gerçekten tatlý deðilsin kuzum boþ yapma ya
2995,Filim iþi sizin en iyi mesleðiniz
2996,Kardeþim Aðaoðlu kadar baþýnýza taþ düþsün
2997,Saatli bomba gibi geziyorsun yine
2998,"Allah'ým dua bekleyen hasta kullarýna þifa ver!"""" diyebilir miyiz?"""
2999,Çok merak ediyorum bunlara sosyal mesafeyi ihlalden ceza kesildi mi?
3000,Önce karar verip sonra düþünen bir yapýya sahibim
3001,Bilmem pek benlik deðil ya ondan ama güzel duruyo
3002,Bir çift mavi göz ýþýðýndan M.Kemalin askeriyim de dedinmi berat edersin artýk
3003,Seninle þöyle
3004,Aðzýný burnunu yerimmmmm
3005,Bi aferin de size :))
3006,"Ayakta duracak halin yokken, hayatta duracak nedenlerin varsa, korkma düþmezsin."""
3007,Zevk almadim ki trajikomik :)
3008,playlistim aþkýrý erkarlý gelmeye baþladý depresyondan çýkmýþ sayýlýr mýyým
3009,sanane dalyarak
3010,Kilo almaya çalýþtýkça kilo verme sorunsalýýýý
3011,Canýmmm çok saðol inþallah
3012,öncesinde þanslarý yaver gitmemiþ
3013,"Savunmanýn en diri unsuru avukatlarý, barolarý eylem yapamaz"
3014,200er sayfalýk bir sürü bulmaca kitabým olmasýna raðmen babamýn tek sayfalýk gazete bulmacasýna salça oluyorum
3015,çýldýrýyorum
3016,Spora kaliteli içerikler üretmek gurur veriyor
3017,Ýki gündür bulunamadý!
3018,Özlenen zamanlar
3019,Vururum direk
3020,Yine söylüyorum alakasý yok en ufak bir temas olmamýþ 18 19 yaþýna kadar
3021,Yarýn sýnavýna girecek olan tüm öðrencilerimize baþarýlar dileriz.
3022,Rabbim zihin açýklýðý versin Ýnþaallah
3023,Gelenekçi deðil islam düþkünü insanlar.
3024,Resmî bir kurumu temsil ediyor olsak da bu cümleyi kurmak zorundayýz!..
3025,ALLAH BELANIZI VERSÝN!
3026,"leþ gibi þarký kliplerinde üstsüz dans edecek yine amk, evin kirasýný ödeyemiyor herhalde"
3027,ben hala dance practice bekliyorum
3028,hiçbir þey yokmuþ gibi davranýyorum ama bir takým þeyler baya aðýrýma gidiyor
3029,Yapmayýn iþte þu indirimleri normalde her þey pahalý diyip kandýrýyordum kendimi...
3030,Sorun yok ama bir þeyler yolunda gitmiyor sanki
3031,Mecnun Þirin'i seviyorsa olay çýkar aq
3032,Boþ sayfasý ve godoþ tayfasý yasta kendisi gýcýk bana kaltaðý hasta
3033,Bu sapýk þerefsiz
3034,"YENGEÇ insanlarýn deðiþebileceðine inanmýyor, samimiyetine de inanmýyor hatta bazýlarýnýn insan olduðuna da inanmýyor."
3035,O üzgün deðil .
3036,fav limiti yedim iste bu beni cok sinirlendirir
3037,Gerektiði zaman aðlamaktan çekinmem
3038,"Çünkü gözyaþlarým, söylenmeyen leri söylemek içindir."
3039,Saf olduðum için deðil deðer verdiðim için tolere ediyorum yaptýklarýnýzý. Keþke bir kez olsun sevildiðimi hissettirseniz.
3040,bu talebiniz ne güzel. Keþke vatanýn tüm evlatlarýnýn bu imkana sahip olsaydý.
3041,Tek bir insanýn bile nazýný çekecek halim yok.. kenarda köþede hiç mi sabrým kalmadý acaba benim..
3042,Düðün ve diðer kutlamalarda havai fiþek yasaðý gelmesini destekler misiniz?
3043,Bugünlük bu kadar beyler Allah rahatlýk versin
3044,aykutu sikiyim
3045,Sizin kalýbýnýzý sikiyim ben.
3046,her seyin anasini sikiyim
3047,sevgiyi sikiyim saygýyý da sikiyim
3048,senin ben aklýný sikiyim
3049,kapatýlacak olan sosyal medyalardan dolayý..olur da tiktok'a baslarsam..böyle ulkenýn amýný tipini sikiyim hersey bitti artýk :((
3050,Adamlar 1 lirayý resmen 6 liraya satýyor ya ananýzý sikiyim sizin
3051,kafayý yastýða koyduðu an uyuyan herkesin kafasýný sikiyim
3052,oglum gel de sikiyim
3053,her geleni sikiyom
3054,Seni sevmeyenin anasýný sikiyim
3055,Google seni evire çevire sikiyim ya.
3056,Ananý sikiyim
3057,Hedef ben miyim orospu çocuðu instagram hedef ben miyim sizin koþulunuzu sikiyim
3058,sikiyim ananý marvel
3059,senin olmayan ayaðýný sikiyim
3060,umudu yarýnda olanýn aklýna sokayým yarýn yok
3061,Bacým bi laf sokayým dedin Rezil oldun..
3062,Dut aðacýndan istekayi avradý mahil bölgene sokayim
3063,Aq yine 7'ye düþtük ya rodrigues senin o ayaðýna sokayým aq  sinirlendim yine amk
3064,Senin aðzýna sokayim göksel piçi
3065,Düzlükte en hýzlý aracý yavaþlatmayý nasýl becerdin o.ospu çocuðu yapacaðýn iþe sokayým senin.
3066,çocuðu okula yazdýrcaz koronadan korkuyoruz 1 sene daha beklesek mi
3067,Sevildiðini sanýp mutlu oluyor bir de
3068,allah seni kahretsin
3069,çoluk çocuðundan çýksýn
3070,beter ol
3071,kurþun yaðdýrýrým sana akýllý ol
3072,bir gece ense köküne sýkacam kurþunu
3073,kafaný kesmeme az kaldý
3074,sýrf giydiði kýyafet yüzünden hiçbir insan tacizi hak etmez
3075,Skimsonik gerizekali tipler dekolteye tecavüzü hak sayýyor ben sizin sexten baska bisey düþünmeyen tarikatinizi skeyim
3076,düzgün konuþ yoksa sana literatürde olmayan küfürleri ederim
3077,Açýk giyinen kadýn tecavüzü hak eder
3078,Açýk giyinen  geç saatte dýþarýda gezen kadýn tecavüzü hak eder
3079,Hiçbir kadýn tecavüzü hak etmez!
3080,tipe amkodumun suratsýzý
3081,enes abi keþke anamý siksen
3082,faiþe kadýn
3083,kudur faiþe
3084,Merhamet etmeyene merhamet edilmez kansiz faise 
3085,sikdir faise
3086,Allah önce sizin gibi zihniyetsizleri yola getirsin . Edepsiz de sensin Fahiþe de. Aq
3087,Haydi ordan orospu  sene 2016 . Türbanlý fahiþe
3088,Fahiþe'nin oðlu
3089,Bozkurta it dedi bir soysuz gavat!
3090,Bu tagý açan þizofren gavat kimse çýksýn ortaya bir kaç þey söyleyeceðim
3091,e spor oynayanýn gram aklý yoktur
3092,sus lan it
3093,itlik yapma lan yol al hadi
3094,puþt herif
3095,sana mý soracam yarram
3096,sana mý sorcam yarraðým
3097,aðzýný burnunu kýrarým kes sesini
3098,ordan konuþmak kolay tabi soysuz köpek
3099,rabbim kalan ömrünü geçen ömründen hayýrlý eylesin
3100,bir ateist olarak bu resmi gördükçe gözyaþlarýma mani olamýyorum
3101,oo süpersin azýcýk bize de bulaþsa
3102,bende biliyorum benden bý bok olmicak
3103,nerdesin len tirrek
3104,dogruyusoyleyince kadro verince adalet yerini bulacak
3105,ogrenciler hocalarýna memleket durusuna hayran 
3106,gunaydin hala yatakta olanlar eminim elinizde telefon aletinizde tad gibidir hadi sanalda sabah keyfi yapalim
3107,artist pezevenk takimi yakti rezildi
3108,ve o narinlikte ve sevimlilikte cüce öylesine acýmasýzca zibh eðliyip
3109,off defol git surdan cüce
3110,lüks yaþam bu muulan gerizeka lüks hayatlarý olsa o poþetleri taþýyan hizmetçileri olurdu
3111,beþtepe millet kültür ve kongre merkezi nden elektrik santralleri toplu açýlýþ törenine telekonferansla baðlandý cumhurbaþkaný
3112,taehyung ne bulsan giyiyon ama yakýþýyor ha ibne 1 namjoon 2 sen kezban gibi giyinsenizde aþýðým
3113,hava gavur þeyi gibi yanýyor diyorlar ama o konuda hiç tecrübem yok bilemiyorum
3114,koca koca adamlar yok þu benim tweetimi çaldý bu benim tweetimi çaldý diye aðlýyor manyak mýsýnýz oðlum
3115,eðlenceli geceye devam
3116,bölümü tanýmlamaya tek bir sözcük yetiyor abi çoðu embesil
3117,iþçi bayramýn kutlu olsun kýz þýrfýntý sonuçta az iþler çevirmedin
3118,siz hep böyle gülün
3119,hepinize hayýrlý cumalar bitmek üzere ama
3120,uzat ablacým uzat
3121,cerrahpaþaduruþu bütünü ile hakkýna sahip çýkmaktýr hiç kimseyi kýrmadan hiç kimseyi yermeden naif bi üslup ile hakkýný aramaktýr
3122,paralý sponsor  erkek arayan kýzlar bulana kadar cebinde vibratörsüz sokaða çýkmasýnlar bi zahmet
3123,bakalým ben kaç alcam  tebrikler bu arada gayet iyi almýþsýn
3124,pazar günü düðün var yok mu bana takým elbise alacak bir baba yiðit
3125,aþk hevesle baþlar hasret gurbetle
3126,þerefsiz hergun televizyonlarda senin albay olmak vardý cümlesini dinliyoruzallahsiz pislik
3127,týrrek tirrek hayalleri fikirleri býrak gerçek hayata dön o zaman rambo gibi olursun
3128,cuma günlerimin vazgeçemediðim mutluluðusun olmazsa olmazsýn
3129,altýn yere düþünce pul olmaz derler
3130,bilgisayar inanýlmaz derecede akýllýca þeyler yapma yeteneðine sahip aptal bir makinedir
3131,elinde balonlarla foto cektýrmen senin bir dombili olduðun geçeceðini degýstýrmýyor
3132,çok hafifmeþrep bir þarký paylaþayým da ulan vurduyor mu acaba diye düþünün
3133,saðlýklýhuzurlu musmutlu bir
3134,sakýn geleyim deme amk el freni
3135,valla ben çalýþan tayfa idim bilgisayar mühendisi adayý oldum sürünme noktasýnda deðiþen
3136,yine bir çýlgýnlýk yapýp bir sürü kitap sipariþ ettimçok mutluyum
3137,merhaba hayat muhteþem
3138,ruhun müzik ile dans etmesi
3139,bu ülkenin baþýna enbüyük pislik sizlersiniz ayyaþ
3140,bu aþaðýlýk bu cesareti nereden alýyor kimdir bu
3141,zilli kesha napiyor acaba su an
3142,sen herþeyden iki kat daha güzelsin
3143,þu masumiyete bakýn
3144,yemekteyiz yarýþmacýlar orda kafayý sýyýrdý izlerken ben de burda sýyýrdým topluca sýyýrdýk sýyýrdýðým için beni yargýlamayýn
3145,doya doya göt sikmek istiyorum
3146,hayatýma bu kadar salak insaný almayý nasýl baþardým anlamýyorum
3147,kampanyasý öncesi alýþveriþe mental olarak da hazýrlanmak gerek tebrikler ozz
3148,makyaj senden nefret ediyorum
3149,ahmedim aslaným nice senelere doðum günün kutlu olsun kardeþim
3150,yavþak it anerika suriye ve irak ta tüm terör örgütlerine binlerce týr silah verdi niye gýkýn çýkmadý þerefsiz hain
3151,yaþlý insanlarýn þehiriçi otobüslerinden tam inecekleri an andaval þoförün dikkat
3152,aðzýna sýçarým
3153,hayirlisi olsun halkimiza duyrulur
3154,kasým ayýna yakýþan ne de tatlý bir klip insanýn sevesi geliyor
3155,çok güzelsin lanet olsun insan mýsýn
3156,iþlerim dolayýsýyla 4 gündür londra dayým mutlaka bir beþiktaþ ürünüyle çýkýyorum dýþarý görenler  come to beþiktaþ  diyor
3157,yine bir kavga ve sen benim kim oldugumu biliyor musun cumlesi  gercekten merak uyandirdi  kimdi acaba keko
3158,bi tane erkeðe full makyaj yapmak istiyorum kim gönüllü ama böyle prof makyaj olacak
3159,ne güzelsin be
3160,bellem hala bekliyorum biliyor musun ckckckckc andaval ya xkckc
3161,iþte tarkovskiye göre edebiyatla sinema arasýndaki benzerlik ve farklar
3162,adana kültür
3163,ben bu semtin serseri yazarýysam sende en büyük kaþar günaydýn
3164,fikret ormanýn açýklamalarý gerçekten dürüstçe bizde beþiktaþýn baþarýlý olmasýný istiyoruz elbette
3165,su calathes denen orospu cocugunu durdurun
3166,beyaz gel beni evimden alda bütün konuklara adýný unutana kadar yumruk atayým
3167,ya ilker boþ yapma amk bal gibi de dönüyor
3168,solmasýn gençliðin gamla kasvetle
3169,anasýný bile satar bu dümbük
3170,amk bitane deðilki al kemali vur güvene hepsi sabunluk zirzop
3171,dön gel dön gel
3172,tüba üstün baþarýlý genç bilim insaný ödülü sosyal bilimler alanýnda kýzým doç dr tuba durmuþ a verildi gururluyuz
3173,sikik sikik edebiyat yapýyorsunuz yapmayýn
3174,atanamamýþ metin akpýnara bak konuþuyo bi de dalyarak
3175,ulan yýllardýr þu müziðin sözlerini merak ediyordum þimdi öðrendim çok mutluyum
3176,vay orospu çocuðu azizeye bam bam bam
3177,kes lan zübük defol
3178,birlikte güzel çalýþmalara imza attýðýmýz ve deðeri bizde baki kalacak olan sayýn müdürümüz
3179,hayraný olduðunuz hayatýn tadýný çýkartýyorum inanýn çok mutluyum
3180,çünkü sen her zaman sen muhabbetle
3181,ders çalýþtýk yorulduk sýnava girdik yine yorulduk mülakat dönemi ayrý yorucu her aþamada yorulduk yýprandýk
3182,banada þey gibi geliyo þiþko olduðum için kimsenin fikrinin ince gülü olamam
3183,od ama bida andaval deme uzuluyorum i geceler
3184,gerizeka bir orospu evladý olduðu için
3185,tarihimizin en pahalý kadrolarýndan birisini böyle vasat beyinsiz bir hocayla tüketemeyiz igor tudor en kýsa sürede kovulsun
3186,bu soru öyle mi sorulur dalyarak
3187,hayýrdýr la benimle uðraþmanýn sebebi nedir þeref yoksunu insan çok þükür biz senin gibi dönek deðiliz dönek
3188,topluluk karþýsýnda baþarýlý bir konuþma yapmanýn sýrrý
3189,çikolata yiyemiom alerjim geçene kadar yasak
3190,allah kökünüzü kurutsun þerefsiz þirret sürüsü
3191,hakkýnda çok iyi þeyler bildiðin insanýn tam bir pezevenk çýkmasý
3192,bu beyinsiz hedef kitlesi de bellio yuzden rahatherhangi bir seyi bilmek
3193,aynen yavþak yine baþka kýza aþýk olmuþsun çok seviyormuþsun iki gün sonra arkasýndan orospu dediðini duyar gibiyim
3194,en son hangi takýmda baþarýlý olmuþ bence çok konuþuyor az konuþup icraat yapmasý lazým inþ baþarýr ne diyelim çok ümidim yok
3195,bana bu tipi yorumlatiyosun ne curettle favladin sen bu tiviti amk keli keli
3196,tudor bu gerizeka pýcý hemen takýmdan gonderýn hemenn serefýnýz varsa mk
3197,bende umarýmgerizekali bide bize kýzýyor doðru söylediðimiz için bize blok ettiama doðru
3198,þu samimiyete bakýn
3199,hassiktir lan gebeþ
3200,herkese nasýl ayný deðeri verebiliyon amk
3201,en büyük en güzel en önemli en deðerli seçim vaadini bunlar veriyor
3202,bu fikre saygý duyan ve destekleyen herkesi imzaya davet ediyorum desteklerinize ihtiyacýmýz var
3203,çocuktan al haberi diye programlar var paralý ailelerin format gereði herkesi güldürmek için programladýðý çocuklar
3204,iyy pis abaza
3205, benfica yla bir problemim yok problemim olan kiþiyi herkes biliyor kulübü seviyorum
3206,sen hala buralarda mýsýn lan tirrek  he kardeeþ nxsnnssnns
3207,dostsuz dünya olmaz imiþ dost duasýz kalmaz imiþ dostun duasý
3208,ilahi adalet diye birþey var
3209,hay amk ya nerden selam verdik
3210,desteklediðin barzo gibi senin de karakterin bozuk
3211,yediden yetmiþe öðrencisinden hocasýna koskoca bir ailenin sahipleniþi ve kenetleniþidir cerrahpaþaduruþu
3212,sýnavdan önce bira içmek ders çalýþýrken ezberlediðiniz þeyleri hatýrlamanýza yardýmcý olur
3213,þu kafamdaki soru iþaretlerini çözemeden ölürsem emin olun ki her gece rüyalarýnýza girip girip hayatýnýza sýçarým
3214,vay þaþkoloz  vayy
3215,görmeyeli çirkinlesmiþsin orosbu evladi
3216,aynen yavþak yine baþka kýza aþýk olmuþsun çok seviyormuþsun iki gün sonra arkasýndan orospu dediðini duyar gibiyim
3217,sn cumhurbaþkanýmýz genel baþkanýmýz grup konuþmasýna baþladý haftamýz hayýrlý olsun
3218,domal bakiyim amina koydumun orospu seni yarragimi boyle amina kokune kadar sokup sokup cikartarak sikerim orospu ht
3219,zehra gýbý olmak istiyorum tek ayak üstünde kýrk tane yalan söylüyor
3220,sema için sürekli ya aslýnda dýþarda böyle deðil diyolar sayýn andaval yorumcular kimse oradaki gibi deðil zaten
3221,sen çok fýrlama bý kýzsýn tuba
3222,bilgisayar bulamayýnca hesabý kapatamadýk gitmeden de seçim sürecinde burada olmayacaðýmýz için kiþilere deðil özgürlük ilk
3223,aay götüüm sikik karý
3224,mert kesinlikle ergenliðine yeniliyor ergen olduðu için son sozü kendi söylemek istiyor ergenleri sahneden alalým aq  yemekteyiz
3225,fatih terim stadyumunda gerizeka tudor yüzünden maðlup olmak bir ironi örneðidir
3226,kucaðýmda yeðenim varken gördüðüm ilgiyi normalde görmüyorum bu kýzlardan  o kadar çocuk seviyorsunuz madem iþi yokuþa sürmeyin
